employee_id;directorate_id;position_id;grade_id;company_id;area_id;tiki;pauli;faxtor;mbti;disc_word;rank;tv_name;tgv_name;years_of_service_months
EMP100070;3;6;1;3;4;2;74;38;ENFJ;Dominant-Conscientious;14;Empathy;Social Orientation & Collaboration;47
EMP100071;3;4;1;2;3;7;38;52;ENTP;Dominant-Conscientious;14;Maximizer;Leadership & Influence;72
EMP100072;1;3;1;2;1;4;92;40;INFP;Conscientious-Influencer;14;Command;Leadership & Influence;45
EMP100073;1;3;3;2;3;9;42;31;ESTJ;Influencer-Conscientious;14;Communication;Social Orientation & Collaboration;85
EMP100074;2;2;3;4;1;4;52;76;INTJ;Conscientious-Influencer;14;Relator;Social Orientation & Collaboration;32
EMP100075;3;5;1;3;1;2;31;78;INTP;Influencer-Dominant;14;Developer;Leadership & Influence;24
EMP100076;2;6;1;1;3;4;90;52;ESFP;Influencer-Steadiness;14;;;4
EMP100077;3;3;1;3;4;1;79;57;ENFJ;Conscientious-Dominant;14;Discipline;Conscientiousness & Reliability;35
EMP100078;3;6;3;1;1;8;99;46;ISTP;Steadiness-Influencer;14;Deliberative;Conscientiousness & Reliability;39
EMP100079;1;3;1;4;4;5;22;38;ISTJ;Dominant-Steadiness;14;Deliberative;Conscientiousness & Reliability;67
EMP100080;3;2;2;2;1;8;55;29;ENFJ;Dominant-Conscientious;14;Context;Cognitive Complexity & Problem-Solving;43
EMP100081;3;6;3;1;4;7;49;31;ENFP;Conscientious-Steadiness;14;Empathy;Social Orientation & Collaboration;85
EMP100082;3;1;3;3;4;6;94;39;INTP;Conscientious-Steadiness;14;Command;Leadership & Influence;63
EMP100083;3;6;2;1;3;2;50;81;ENTJ;Conscientious-Dominant;14;Communication;Social Orientation & Collaboration;19
EMP100084;3;6;2;1;3;5;56;48;;Steadiness-Dominant;14;Ideation;Creativity & Innovation Orientation;16
EMP100085;2;2;3;2;4;8;86;61;ENTJ;Conscientious-Steadiness;14;;;22
EMP100086;1;4;3;3;3;3;79;76;ISTJ;Influencer-Conscientious;14;Consistency;Conscientiousness & Reliability;23
EMP100087;2;1;3;2;1;2;36;63;ENFP;Dominant-Steadiness;14;Activator;Leadership & Influence;12
EMP100088;1;3;1;2;4;5;29;88;ISFP;Conscientious-Steadiness;14;Ideation;Creativity & Innovation Orientation;38
EMP100089;3;5;3;1;2;10;97;26;;Conscientious-Dominant;14;Arranger;Leadership & Influence;56
EMP100090;2;6;2;2;4;1;48;96;ESTJ;Dominant-Steadiness;14;Adaptability;Adaptability & Stress Tolerance;27
EMP100091;1;3;2;4;1;6;36;83;ENFP;Dominant-Steadiness;14;Relator;Social Orientation & Collaboration;10
EMP100092;3;2;3;2;1;1;43;51;ENTJ;Influencer-Conscientious;14;Analytical;Cognitive Complexity & Problem-Solving;68
EMP100093;3;2;2;1;1;3;71;31;ENTP;Conscientious-Steadiness;14;Harmony;Social Orientation & Collaboration;57
EMP100094;3;1;1;4;1;6;24;50;INFJ;Steadiness-Dominant;14;Intellection;Cognitive Complexity & Problem-Solving;33
EMP100095;2;3;2;2;4;5;66;40;ISFJ;Steadiness-Conscientious;14;Positivity;Social Orientation & Collaboration;41
EMP100096;1;2;2;4;3;7;42;78;ENTJ;Steadiness-Influencer;14;Restorative;Cognitive Complexity & Problem-Solving;77
EMP100097;3;6;1;1;1;2;44;76;INFJ;Dominant-Conscientious;14;Input;Cognitive Complexity & Problem-Solving;64
EMP100098;1;3;3;3;4;9;37;32;ENTJ;Influencer-Dominant;14;Self-Assurance;Leadership & Influence;57
EMP100099;2;4;1;3;4;7;52;80;ESTJ;Steadiness-Conscientious;14;Developer;Leadership & Influence;46
EMP100100;1;1;2;4;4;6;44;56;;Dominant-Conscientious;14;Relator;Social Orientation & Collaboration;55
EMP100101;2;4;3;3;1;2;35;97;ESTJ;Influencer-Conscientious;14;Belief;Cultural & Values Urgency;51
EMP100102;3;3;1;1;2;5;47;89;INTJ;Steadiness-Influencer;14;Futuristic;Creativity & Innovation Orientation;22
EMP100103;3;2;2;4;1;2;62;73;ESTJ;Influencer-Steadiness;14;Significance;Motivation & Drive;32
EMP100104;2;4;1;4;4;9;80;37;ISTP;Dominant-Conscientious;14;Harmony;Social Orientation & Collaboration;81
EMP100105;2;1;1;2;1;7;50;45;ENFJ;Steadiness-Conscientious;14;Adaptability;Adaptability & Stress Tolerance;16
EMP100106;3;1;3;3;3;4;72;49;ENFJ;Conscientious-Dominant;14;Context;Cognitive Complexity & Problem-Solving;64
EMP100107;1;4;2;4;2;9;28;59;ISFP;Conscientious-Influencer;14;Developer;Leadership & Influence;45
EMP100108;3;3;2;4;2;5;73;70;ISTP;Dominant-Conscientious;14;Intellection;Cognitive Complexity & Problem-Solving;58
EMP100109;3;2;3;3;1;4;90;96;ESFP;Dominant-Conscientious;14;Woo;;55
EMP100110;2;5;3;3;2;5;36;63;INFP;Steadiness-Dominant;14;Input;Cognitive Complexity & Problem-Solving;46
EMP100111;1;3;3;2;2;8;38;99;ENFJ;Influencer-Dominant;14;Relator;Social Orientation & Collaboration;44
EMP100112;3;3;1;4;4;7;88;83;ENTP;Dominant-Conscientious;14;Consistency;Conscientiousness & Reliability;36
EMP100113;1;1;2;1;4;10;57;72;INTJ;Influencer-Dominant;14;;;55
EMP100114;2;4;2;2;2;7;33;29;INFJ;Dominant-Influencer;14;Futuristic;Creativity & Innovation Orientation;15
EMP100115;2;1;1;2;1;7;21;62;ENFJ;Influencer-Steadiness;14;Communication;Social Orientation & Collaboration;41
EMP100116;2;6;3;2;2;7;89;40;ISFP;Steadiness-Influencer;14;Activator;Leadership & Influence;50
EMP100117;2;4;2;4;4;5;40;98;INFJ;Dominant-Influencer;14;Input;Cognitive Complexity & Problem-Solving;39
EMP100118;3;4;3;4;4;2;67;31;ISTJ;Influencer-Conscientious;14;Adaptability;Adaptability & Stress Tolerance;53
EMP100119;1;6;2;2;2;1;96;35;INTJ;Steadiness-Influencer;14;Self-Assurance;Leadership & Influence;1
EMP100120;1;2;2;4;2;8;53;45;;Steadiness-Conscientious;14;;;52
EMP100121;3;4;1;1;3;10;95;85;INFJ;Steadiness-Dominant;14;Maximizer;Leadership & Influence;56
EMP100122;3;6;3;2;3;2;27;63;ESTP;Conscientious-Steadiness;14;Harmony;Social Orientation & Collaboration;10
EMP100123;1;5;2;2;1;8;40;42;ESTJ;Conscientious-Dominant;14;Focus;Motivation & Drive;54
EMP100124;2;2;1;2;4;8;38;84;ESFP;Dominant-Conscientious;14;Input;Cognitive Complexity & Problem-Solving;52
EMP100125;2;5;3;2;4;6;28;72;ENTP;Dominant-Conscientious;14;Learner;Cognitive Complexity & Problem-Solving;45
EMP100126;3;5;3;3;4;1;86;53;ISFP;Dominant-Steadiness;14;;;67
EMP100127;1;6;3;1;3;1;20;65;;Conscientious-Influencer;14;Analytical;Cognitive Complexity & Problem-Solving;26
EMP100128;2;4;2;1;1;3;70;69;ESTP;Dominant-Conscientious;14;Empathy;Social Orientation & Collaboration;58
EMP100129;1;2;2;4;4;3;64;40;ENTP;Conscientious-Steadiness;14;;;17
EMP100130;3;1;1;2;3;9;39;80;INTP;Conscientious-Dominant;14;Learner;Cognitive Complexity & Problem-Solving;68
EMP100131;1;4;3;1;1;2;51;47;ESTP;Dominant-Steadiness;14;Input;Cognitive Complexity & Problem-Solving;58
EMP100132;2;2;3;1;2;8;66;59;ISFP;Steadiness-Influencer;14;Belief;Cultural & Values Urgency;46
EMP100133;3;4;1;2;2;4;44;89;ENTP;Conscientious-Influencer;14;Woo;;30
EMP100134;2;5;1;4;2;6;33;89;INTJ;Conscientious-Steadiness;14;Positivity;Social Orientation & Collaboration;61
EMP100135;3;4;1;1;3;7;87;64;INFP;Conscientious-Influencer;14;;;14
EMP100136;1;2;1;3;2;10;45;53;ESFJ;Influencer-Dominant;14;Relator;Social Orientation & Collaboration;76
EMP100137;2;1;1;1;2;10;73;32;ESFJ;Dominant-Conscientious;14;Activator;Leadership & Influence;124
EMP100138;2;3;3;2;1;9;29;27;ISFJ;Influencer-Conscientious;14;Adaptability;Adaptability & Stress Tolerance;42
EMP100139;3;4;3;1;2;8;47;90;ENTP;Influencer-Conscientious;14;Strategic;Cognitive Complexity & Problem-Solving;78
EMP100140;1;6;1;4;2;1;92;73;ISFP;Dominant-Influencer;14;Command;Leadership & Influence;54
EMP100141;3;6;3;4;3;8;91;28;ENFJ;Dominant-Conscientious;14;Connectedness;Cognitive Complexity & Problem-Solving;67
EMP100142;3;4;1;1;3;1;98;64;ESTP;Influencer-Dominant;14;;;64
EMP100143;3;2;2;1;3;3;38;93;ESFP;Influencer-Steadiness;14;Connectedness;Cognitive Complexity & Problem-Solving;22
EMP100144;3;4;2;2;2;8;60;58;ENFP;Conscientious-Influencer;14;Command;Leadership & Influence;20
EMP100145;1;5;1;3;1;9;51;100;INFP;Steadiness-Conscientious;14;Activator;Leadership & Influence;41
EMP100146;2;5;1;2;4;9;90;91;INTP;Conscientious-Steadiness;14;Intellection;Cognitive Complexity & Problem-Solving;35
EMP100147;1;6;2;4;3;5;67;49;ESFJ;Influencer-Steadiness;14;Relator;Social Orientation & Collaboration;7
EMP100148;1;1;1;2;1;2;43;77;INTP;Influencer-Steadiness;14;Significance;Motivation & Drive;100
EMP100149;3;4;1;4;2;7;28;28;ESTJ;Dominant-Conscientious;14;Competition;Motivation & Drive;60
EMP100150;1;1;3;3;3;4;69;77;ENFP;Conscientious-Steadiness;14;;;69
EMP100151;3;3;1;4;1;10;35;65;INTP;Dominant-Influencer;14;Restorative;Cognitive Complexity & Problem-Solving;42
EMP100152;3;2;3;3;4;6;33;67;;Influencer-Conscientious;14;Consistency;Conscientiousness & Reliability;59
EMP100153;3;3;1;4;1;9;85;73;ENFJ;Conscientious-Influencer;14;Discipline;Conscientiousness & Reliability;66
EMP100154;2;2;2;1;2;10;86;42;ESFP;Influencer-Dominant;14;Learner;Cognitive Complexity & Problem-Solving;39
EMP100155;3;3;1;1;3;4;73;57;ENTP;Conscientious-Dominant;14;Intellection;Cognitive Complexity & Problem-Solving;74
EMP100156;3;4;1;2;1;7;51;58;ESFJ;Steadiness-Influencer;14;Communication;Social Orientation & Collaboration;66
EMP100157;2;1;3;2;1;4;34;50;ISTJ;Influencer-Conscientious;14;Arranger;Leadership & Influence;15
EMP100158;1;4;3;3;1;6;33;64;INTJ;Steadiness-Dominant;14;Positivity;Social Orientation & Collaboration;20
EMP100159;2;4;3;4;3;4;94;74;INFJ;Conscientious-Influencer;14;Achiever;Motivation & Drive;45
EMP100160;2;1;2;4;1;4;70;90;INTP;Dominant-Conscientious;14;Input;Cognitive Complexity & Problem-Solving;83
EMP100161;3;6;1;4;2;3;42;52;;Conscientious-Dominant;14;Harmony;Social Orientation & Collaboration;78
EMP100162;1;5;2;3;2;2;43;93;ENTP;Dominant-Influencer;14;Learner;Cognitive Complexity & Problem-Solving;38
EMP100163;3;2;1;2;4;10;57;96;ESTP;Influencer-Conscientious;14;Connectedness;Cognitive Complexity & Problem-Solving;74
EMP100164;2;2;1;4;4;9;88;41;ENFJ;Influencer-Steadiness;14;Arranger;Leadership & Influence;81
EMP100165;1;6;3;4;4;5;48;39;ENTP;Conscientious-Steadiness;14;Significance;Motivation & Drive;18
EMP100166;3;4;1;2;3;10;38;31;ISFP;Influencer-Conscientious;14;;;34
EMP100167;3;4;1;3;2;1;67;21;ESTP;Conscientious-Dominant;14;Arranger;Leadership & Influence;84
EMP100168;1;3;3;1;2;1;33;65;ISTJ;Conscientious-Influencer;14;Relator;Social Orientation & Collaboration;77
EMP100169;2;4;2;2;4;3;90;43;ESFP;Conscientious-Steadiness;14;;;55
EMP100170;3;1;1;4;4;1;55;95;INFJ;Conscientious-Influencer;14;Relator;Social Orientation & Collaboration;103
EMP100171;3;2;3;1;1;4;91;66;ISFJ;Influencer-Conscientious;14;Belief;Cultural & Values Urgency;44
EMP100172;1;6;3;3;4;10;77;34;ENTP;Conscientious-Influencer;14;Consistency;Conscientiousness & Reliability;15
EMP100173;2;6;3;4;3;2;75;42;INTP;Influencer-Dominant;14;;;81
EMP100174;2;5;2;3;4;4;70;77;ESFJ;Influencer-Conscientious;14;Competition;Motivation & Drive;74
EMP100175;1;2;1;1;2;3;30;89;ESFJ;Influencer-Conscientious;14;Harmony;Social Orientation & Collaboration;28
EMP100176;1;6;1;3;3;6;54;47;ENTP;Steadiness-Dominant;14;;;10
EMP100177;1;5;3;2;1;3;57;28;INTJ;Dominant-Influencer;14;Learner;Cognitive Complexity & Problem-Solving;19
EMP100178;3;4;1;3;3;2;73;63;ESFJ;Dominant-Influencer;14;Relator;Social Orientation & Collaboration;56
EMP100179;2;5;3;2;1;2;57;94;ESTJ;Steadiness-Dominant;14;Woo;;41
EMP100180;2;1;1;2;1;10;97;58;INTJ;Conscientious-Steadiness;14;Activator;Leadership & Influence;44
EMP100181;1;4;1;1;2;8;57;82;ESFJ;Dominant-Conscientious;14;Deliberative;Conscientiousness & Reliability;63
EMP100182;3;4;1;3;3;6;27;67;ENTP;Conscientious-Dominant;14;Strategic;Cognitive Complexity & Problem-Solving;49
EMP100183;2;2;3;1;1;3;29;87;INTP;Conscientious-Influencer;14;Empathy;Social Orientation & Collaboration;16
EMP100184;2;3;3;4;3;3;26;44;ENTJ;Conscientious-Steadiness;14;Context;Cognitive Complexity & Problem-Solving;62
EMP100185;2;6;2;3;1;3;31;68;INFJ;Steadiness-Dominant;14;Competition;Motivation & Drive;59
EMP100186;3;3;2;3;4;9;34;44;ENTP;Conscientious-Influencer;14;Restorative;Cognitive Complexity & Problem-Solving;59
EMP100187;2;6;1;2;4;7;72;88;ENFP;Conscientious-Dominant;14;Includer;Social Orientation & Collaboration;39
EMP100188;3;1;3;3;3;4;90;92;INFP;Dominant-Influencer;14;Belief;Cultural & Values Urgency;7
EMP100189;2;1;3;3;3;2;22;30;ENFJ;Conscientious-Influencer;14;Includer;Social Orientation & Collaboration;78
EMP100190;3;5;1;2;1;5;88;99;INFP;Influencer-Dominant;14;Deliberative;Conscientiousness & Reliability;45
EMP100191;1;5;1;3;1;6;45;44;ENFJ;Steadiness-Conscientious;14;Futuristic;Creativity & Innovation Orientation;61
EMP100192;3;5;2;3;1;2;70;35;INTP;Steadiness-Influencer;14;Input;Cognitive Complexity & Problem-Solving;86
EMP100193;1;5;1;4;2;10;26;39;INFJ;Dominant-Influencer;14;Individualization;Cognitive Complexity & Problem-Solving;38
EMP100194;1;1;2;3;2;9;58;59;ISFP;Conscientious-Dominant;14;Ideation;Creativity & Innovation Orientation;41
EMP100195;1;3;2;3;3;8;72;27;ENFJ;Influencer-Conscientious;14;Command;Leadership & Influence;29
EMP100196;1;2;3;3;3;3;98;73;ISFJ;Dominant-Steadiness;14;Empathy;Social Orientation & Collaboration;34
EMP100197;1;4;3;1;4;1;51;52;INFJ;Conscientious-Influencer;14;Connectedness;Cognitive Complexity & Problem-Solving;15
EMP100198;3;1;2;2;4;9;20;30;ESTJ;Steadiness-Dominant;14;Arranger;Leadership & Influence;66
EMP100199;3;1;2;1;3;9;99;23;;Conscientious-Influencer;14;Analytical;Cognitive Complexity & Problem-Solving;70
EMP100200;2;5;2;4;1;7;24;99;ISTJ;Conscientious-Influencer;14;Competition;Motivation & Drive;46
EMP100201;3;1;3;4;2;9;39;98;ISFJ;Dominant-Conscientious;14;;;29
EMP100202;1;4;1;3;3;2;64;24;ENFP;Steadiness-Influencer;14;Adaptability;Adaptability & Stress Tolerance;26
EMP100203;2;1;1;1;3;2;72;74;ESFP;Conscientious-Dominant;14;Belief;Cultural & Values Urgency;46
EMP100204;2;4;1;1;4;6;59;84;ISFJ;Conscientious-Influencer;14;Consistency;Conscientiousness & Reliability;75
EMP100205;1;3;3;4;3;5;61;36;INFJ;Conscientious-Steadiness;14;Activator;Leadership & Influence;12
EMP100206;2;4;3;1;4;6;24;40;INTJ;Influencer-Steadiness;14;Consistency;Conscientiousness & Reliability;38
EMP100207;3;1;2;1;2;7;62;95;ESTJ;Dominant-Influencer;14;Developer;Leadership & Influence;54
EMP100208;3;1;2;3;3;2;92;48;ESFP;Dominant-Influencer;14;;;79
EMP100209;2;6;1;2;2;6;29;34;ESTJ;Influencer-Steadiness;14;Maximizer;Leadership & Influence;45
EMP100210;3;4;2;1;4;7;32;73;ISTJ;Influencer-Dominant;14;Empathy;Social Orientation & Collaboration;56
EMP100211;3;1;1;3;1;2;27;69;INTJ;Dominant-Conscientious;14;Arranger;Leadership & Influence;38
EMP100212;3;5;3;3;1;8;91;31;INTP;Influencer-Dominant;14;Communication;Social Orientation & Collaboration;14
EMP100213;2;4;3;4;2;4;41;36;ENTJ;Dominant-Steadiness;14;Input;Cognitive Complexity & Problem-Solving;59
EMP100214;2;5;3;1;1;4;43;99;INTP;Conscientious-Dominant;14;Significance;Motivation & Drive;16
EMP100215;1;1;1;2;2;7;64;79;ENFP;Conscientious-Steadiness;14;Achiever;Motivation & Drive;97
EMP100216;1;5;2;4;1;5;85;20;INFP;Dominant-Conscientious;14;Relator;Social Orientation & Collaboration;10
EMP100217;3;1;1;2;3;1;66;88;INTP;Steadiness-Conscientious;14;Woo;;35
EMP100218;2;2;2;4;4;1;59;98;ESTP;Influencer-Dominant;14;Positivity;Social Orientation & Collaboration;35
EMP100219;2;5;2;3;1;2;69;52;ENTJ;Influencer-Dominant;14;Focus;Motivation & Drive;14
EMP100220;3;6;1;2;2;1;56;76;INTP;Steadiness-Influencer;14;Woo;;63
EMP100221;3;2;1;4;4;5;61;50;ESFJ;Steadiness-Influencer;14;Consistency;Conscientiousness & Reliability;3
EMP100222;2;1;2;2;3;4;30;93;INTJ;Conscientious-Dominant;14;Strategic;Cognitive Complexity & Problem-Solving;88
EMP100223;3;2;3;4;3;8;61;96;ENFP;Influencer-Steadiness;14;Harmony;Social Orientation & Collaboration;2
EMP100224;1;4;3;1;2;8;79;67;ENFJ;Conscientious-Dominant;14;Empathy;Social Orientation & Collaboration;75
EMP100225;1;6;3;3;1;4;38;28;;Steadiness-Influencer;14;Intellection;Cognitive Complexity & Problem-Solving;48
EMP100226;1;4;1;2;1;8;76;73;ENTP;Conscientious-Steadiness;14;Significance;Motivation & Drive;11
EMP100227;3;1;2;2;4;4;39;89;ISTJ;Dominant-Steadiness;14;Command;Leadership & Influence;61
EMP100228;1;2;2;4;2;6;97;46;ISFJ;Influencer-Dominant;14;;;53
EMP100229;3;6;3;2;2;8;69;55;ISFP;Conscientious-Influencer;14;Belief;Cultural & Values Urgency;22
EMP100230;3;1;2;4;4;7;30;63;ESFP;Influencer-Conscientious;14;Context;Cognitive Complexity & Problem-Solving;91
EMP100231;1;1;2;3;4;6;60;70;ENFP;Steadiness-Influencer;14;Positivity;Social Orientation & Collaboration;17
EMP100232;3;1;3;1;1;9;59;75;ESTJ;Influencer-Conscientious;14;Connectedness;Cognitive Complexity & Problem-Solving;65
EMP100233;3;6;2;2;4;5;81;41;ENFP;Influencer-Conscientious;14;Deliberative;Conscientiousness & Reliability;66
EMP100234;3;6;2;4;2;3;76;87;ENTJ;Influencer-Conscientious;14;Connectedness;Cognitive Complexity & Problem-Solving;19
EMP100235;1;6;2;4;3;5;24;57;ESFP;Conscientious-Influencer;14;Achiever;Motivation & Drive;36
EMP100236;3;4;1;1;3;2;58;84;ISFP;Influencer-Steadiness;14;Discipline;Conscientiousness & Reliability;20
EMP100237;3;2;3;4;3;1;54;80;ESFJ;Conscientious-Steadiness;14;Harmony;Social Orientation & Collaboration;36
EMP100238;1;1;1;1;3;5;63;20;ESFJ;Dominant-Influencer;14;Developer;Leadership & Influence;98
EMP100239;1;1;2;1;2;3;47;41;ISFP;Conscientious-Steadiness;14;Communication;Social Orientation & Collaboration;16
EMP100240;3;1;1;1;3;1;26;35;ENFP;Steadiness-Influencer;14;Belief;Cultural & Values Urgency;19
EMP100241;1;6;2;4;2;8;98;89;ISTJ;Conscientious-Steadiness;14;Consistency;Conscientiousness & Reliability;81
EMP100242;2;2;2;4;1;2;46;97;ESFP;Conscientious-Steadiness;14;Significance;Motivation & Drive;52
EMP100243;2;2;1;2;3;5;30;50;ISFP;Steadiness-Influencer;14;;;40
EMP100244;1;3;2;1;2;1;84;47;INTJ;Dominant-Conscientious;14;Communication;Social Orientation & Collaboration;85
EMP100245;2;3;2;2;1;9;63;98;ISTJ;Steadiness-Dominant;14;Competition;Motivation & Drive;79
EMP100246;3;3;1;1;1;7;38;61;ESTJ;Conscientious-Steadiness;14;Harmony;Social Orientation & Collaboration;28
EMP100247;3;1;3;1;1;8;82;58;ENFJ;Influencer-Conscientious;14;Futuristic;Creativity & Innovation Orientation;59
EMP100248;2;1;2;2;3;3;54;20;;Steadiness-Influencer;14;Significance;Motivation & Drive;7
EMP100249;3;2;1;4;4;6;36;42;ISFJ;Steadiness-Influencer;14;Individualization;Cognitive Complexity & Problem-Solving;82
